"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 20 11:20:29 UTC 2026","Mon Apr 20 11:20:29 UTC 2026","10","tests.grade","test_401_no_token","TestGradesStatsAuth","","","test_grades_stats_auth",""
"failed","Mon Apr 20 11:20:33 UTC 2026","Mon Apr 20 11:20:33 UTC 2026","4","tests.group","test_group_contract","TestGroupContract","","","test_create_group_anonym",""
"broken","Mon Apr 20 11:20:32 UTC 2026","Mon Apr 20 11:20:32 UTC 2026","61","tests.group","test_get_groups","TestGetGroups","","","test_get_groups",""
"passed","Mon Apr 20 11:20:33 UTC 2026","Mon Apr 20 11:20:33 UTC 2026","51","tests.student","test_delete_student","TestDeleteStudent","","","test_delete_student",""
"passed","Mon Apr 20 11:20:31 UTC 2026","Mon Apr 20 11:20:31 UTC 2026","54","tests.grade","test_grades_creat","TestGradesCreat","","","test_grades_creat",""
"broken","Mon Apr 20 11:20:34 UTC 2026","Mon Apr 20 11:20:34 UTC 2026","51","tests.student","test_get_student","TestGetStudent","","","test_get_student",""
"passed","Mon Apr 20 11:20:30 UTC 2026","Mon Apr 20 11:20:30 UTC 2026","12","tests.grade","test_get_grades_stats","TestGetGradesStats","","","test_get_grades_stats",""
"passed","Mon Apr 20 11:20:35 UTC 2026","Mon Apr 20 11:20:35 UTC 2026","0","tests.student","test_student_create","TestStudent","","","test_student_create",""
"passed","Mon Apr 20 11:20:32 UTC 2026","Mon Apr 20 11:20:32 UTC 2026","102","tests.grade","test_stats_correct_for_student","TestStatsCorrectForStudent","","","test_stats_correct_for_student",""
"passed","Mon Apr 20 11:20:29 UTC 2026","Mon Apr 20 11:20:29 UTC 2026","33","tests.grade","test_get_grades","TestGetGrades","","","test_get_grades",""
"failed","Mon Apr 20 11:20:35 UTC 2026","Mon Apr 20 11:20:35 UTC 2026","11","tests.teacher","test_teacher_create","TestTeacherCreate","","","test_teacher_create",""
